BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,3,0,0,0,1,1,0,.250,.739
"Soto, JRF",3,0,0,0,1,2,1,.226,.552
"Machado, M3B",4,0,0,0,0,0,3,.258,.859
BellDH,4,0,0,0,0,2,3,.130,.428
Cronenworth2B,3,0,0,0,0,2,0,.219,.532
Myers1B,3,0,1,0,0,2,0,.115,.379
KimSS,3,0,0,0,0,0,1,.172,.549
GrishamCF,3,0,0,0,0,2,1,.333,1.175
"Nola, AuC",3,0,0,0,0,0,0,.333,.810
,29,0,1,0,2,11,9,,
