PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(W, 1-1)",7.0,1,0,0,1,8,0,1.40
"Domínguez(H, 2)",1.0,0,0,0,0,2,0,0.00
"Alvarado(S, 1)",1.0,0,0,0,1,1,0,4.50
,9.0,1,0,0,2,11,0,
