PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(L, 2-1)",7.0,3,2,2,1,7,2,2.84
"Martinez, N",1.0,0,0,0,0,2,0,1.50
"García, L",1.0,0,0,0,0,0,0,0.00
,9.0,3,2,2,1,9,2,
