BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Segura2B,4,0,1,0,0,2,0,.229,.623
Hoskins1B,4,0,1,0,0,2,1,.200,.664
HarperDH,4,1,1,1,0,1,1,.253,.810
"Castellanos, NRF",4,0,0,0,0,2,1,.286,.810
RealmutoC,3,1,0,0,1,1,0,.256,.672
SchwarberLF,4,2,3,3,0,0,0,.200,.838
Bohm3B,3,1,1,0,0,0,1,.309,.828
CamargoSS,4,1,1,2,0,1,2,.268,.728
"Herrera, OCF",4,0,0,0,0,2,1,.318,1.151
,34,6,8,6,1,11,7,,
