BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wendle2B,4,0,2,1,0,0,0,.262,.666
"Rojas, MSS",3,0,0,0,1,1,2,.231,.612
CooperDH,2,0,0,0,1,0,0,.274,.773
a-AguilarPH-DH,1,0,0,0,0,0,0,.240,.675
BledayRF,4,0,0,0,0,0,3,.242,.744
FortesC,4,1,1,0,0,1,3,.250,.745
Leblanc3B,4,1,1,0,0,1,0,.410,1.015
"Díaz, L1B",4,1,1,1,0,1,0,.154,.420
BurdickCF,4,0,1,0,0,2,2,.200,.673
"Williams, LLF",4,0,1,0,0,2,1,.261,.664
,34,3,7,2,2,8,11,,
