PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Gibson(L, 7-5)",6.0,6,3,2,2,3,0,4.29
"Nelson, N",1.0,0,0,0,0,1,0,4.18
Knebel,1.0,0,0,0,0,1,0,3.45
Brogdon,1.0,1,0,0,0,3,0,1.80
,9.0,7,3,2,2,8,0,
