PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Verlander(W, 13-3)",7.0,4,1,1,2,9,1,1.86
"Mushinski(H, 1)",1.0,0,0,0,0,0,0,3.68
"Abreu, B(S, 1)",1.0,0,0,0,0,1,0,2.91
,9.0,4,1,1,2,10,1,
