PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(L, 0-1)",4.1,2,2,2,1,3,1,4.15
Montgomery,2.2,2,0,0,3,3,0,0.00
Gallegos,1.0,0,0,0,0,0,0,0.00
"Hicks, J",1.0,0,0,0,1,1,0,0.00
,9.0,4,2,2,5,7,1,
