PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(W, 1-0)",6.2,4,0,0,1,6,0,0.00
"Alvarado(H, 1)",0.2,0,0,0,1,0,0,13.50
"Domínguez(H, 1)",0.2,1,0,0,0,2,0,0.00
"Eflin(S, 1)",1.0,2,0,0,0,0,0,4.50
,9.0,7,0,0,2,8,0,
