BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Lowe, B2B",3,0,0,0,1,1,1,.000,.125
FrancoSS,3,0,0,1,0,1,0,.429,.804
Choi1B,3,0,1,0,1,2,2,.333,.933
ArozarenaDH,4,0,1,0,0,0,2,.375,.750
"Lowe, JLF",4,2,2,0,0,0,1,.333,1.167
"Mejía, FC",4,2,2,3,0,0,0,.500,1.650
KiermaierCF,3,1,1,0,0,0,0,.167,.500
Walls3B,2,0,0,0,1,0,0,.000,.333
"Phillips, BRF",3,0,1,1,0,1,3,.200,.400
,29,5,8,5,3,5,9,,
