BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,2,1,1,1,3,0,.273,.888
"Freeman, F1B",5,0,0,0,0,0,2,.301,.855
TurnerSS,5,0,3,1,0,2,0,.290,.767
RiosDH,3,1,1,1,2,1,2,.267,.935
Muncy2B,4,0,0,0,1,2,5,.156,.610
"Turner, J3B",5,0,0,0,0,2,4,.207,.629
BellingerCF,4,0,1,0,0,2,1,.215,.695
LuxLF,3,0,0,0,0,1,1,.255,.672
"a-Taylor, ChPH-LF",0,0,0,0,1,0,0,.240,.718
"Barnes, AC",4,0,0,0,0,1,3,.245,.858
,37,3,6,3,5,14,18,,
