PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Eflin,7.0,4,2,2,2,12,2,3.65
Domínguez,1.0,1,0,0,0,1,0,2.16
Alvarado,1.0,0,0,0,1,0,0,7.30
"Knebel(W, 1-3)",1.0,1,1,0,2,1,0,3.18
,10.0,6,3,2,5,14,2,
