Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,SF,NL,P,8,8,39.2,8,0,8,0,1,,1.000
2020,SF,NL,P,13,11,54.1,5,4,1,0,0,,1.000
2021,SF,NL,P,27,26,148.1,37,14,23,0,2,,1.000
2022,SF,NL,P,32,32,192.1,44,22,22,0,2,,1.000
4 Seasons,SF,NL,P,80,77,434.2,94,40,54,0,5,,1.000
