BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS,4,0,0,0,0,1,0,.255,.692
CarlsonCF,3,0,2,0,1,0,0,.256,.721
Goldschmidt1B,4,0,1,0,0,1,1,.331,1.000
Arenado3B,4,0,2,0,0,0,3,.296,.893
PujolsDH,4,0,0,0,0,2,4,.214,.677
O'NeillLF,4,0,0,0,0,2,2,.235,.639
YepezRF,2,0,0,0,1,1,0,.254,.757
Donovan2B,2,0,0,0,1,0,2,.281,.776
KniznerC,2,0,0,0,0,0,1,.205,.557
a-GormanPH,1,0,0,0,0,0,0,.234,.737
RomineC,0,0,0,0,0,0,0,.174,.382
,30,0,5,0,3,7,13,,
