Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,0,,0,0,0,0,0,0,0,0,92,94,2
2018,1,,0,1,-1,0,0,1,0,1,89,90,1
2019,-3,,0,1,1,1,0,-2,-2,-4,89,88,-1
2020,1,,0,2,0,2,-1,-1,1,-1,90,91,1
2021,-4,,-2,2,0,1,-2,-2,-1,-5,88,86,-2
2022,-5,,-2,-1,0,-3,-2,0,0,-2,86,84,-2
