Season,Team,Pos,PA,Depth (ft.),Angle
2017,BAL,7,24,302,-25
2017,BAL,9,234,303,25
2018,BAL,7,3,311,-26
2018,BAL,9,1013,298,27
2019,BAL,9,1534,301,28
2019,BAL,8,700,326,1
2019,BAL,7,1282,301,-27
2020,BAL,7,35,294,-27
2020,BAL,9,1313,299,28
2021,BAL,9,2945,295,28
2021,BAL,7,149,296,-26
2022,BAL,7,1268,297,-26
2022,BAL,9,2924,294,27
