 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2017,,21,18.3,23.8%,0.0%,21,24.3,0.0%,33.3%
2018,,112,18.0,19.6%,2.7%,71,22.3,2.8%,8.5%
2019,,431,16.6,31.6%,2.1%,281,24.0,1.1%,16.7%
2020,,152,18.6,16.4%,1.3%,100,26.1,0.0%,22.0%
2021,,472,18.7,16.5%,4.4%,316,25.2,0.0%,18.4%
2022,,671,18.3,18.5%,5.5%,538,24.1,0.6%,18.0%
