Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,BAL,AL,LF,4,0,6.0,0,0,0,0,0,,.000
2017,BAL,AL,RF,8,6,53.0,16,16,0,0,0,,1.000
2018,BAL,AL,LF,1,0,1.0,0,0,0,0,0,,.000
2018,BAL,AL,RF,29,25,230.2,61,57,2,2,0,,.967
2018,BAL,AL,DH,3,2,0.0,0,0,0,0,0,,.000
2019,BAL,AL,LF,40,32,287.0,89,87,2,0,1,,1.000
2019,BAL,AL,CF,24,20,156.0,63,63,0,0,0,,1.000
2019,BAL,AL,RF,50,37,350.1,78,73,3,2,1,,.974
2019,BAL,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2020,BAL,AL,LF,2,1,8.0,3,2,0,1,0,,.667
2020,BAL,AL,RF,35,35,303.1,79,73,4,2,0,,.975
2020,BAL,AL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,BAL,AL,LF,4,4,29.0,7,7,0,0,0,,1.000
2021,BAL,AL,RF,81,78,669.1,162,159,2,1,1,,.994
2021,BAL,AL,DH,21,21,0.0,0,0,0,0,0,,.000
2022,BAL,AL,LF,38,37,299.0,53,51,0,2,0,,.962
2022,BAL,AL,RF,84,79,695.2,170,164,5,1,1,,.994
2022,BAL,AL,DH,34,34,0.0,0,0,0,0,0,,.000
6 Seasons,BAL,AL,LF,89,74,630.0,152,147,2,3,1,,.980
,BAL,AL,CF,24,20,156.0,63,63,0,0,0,,1.000
,BAL,AL,RF,287,260,2302.1,566,542,16,8,3,,.986
,BAL,AL,DH,62,61,0.0,0,0,0,0,0,,.000
