 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2018,6,11,54.5,1,-0.9,-1.5,0.8,-1.6,31.8
2019,18,46,39.1,-4,-1.1,-0.8,0.6,-1.4,31.9
2020,8,15,53.3,0,0.2,1.3,-1.3,0.7,31.8
2021,18,42,42.9,-3,-1,-0.8,0.7,-1,32.1
2022,25,62,40.3,-4,-0.8,-0.7,0.7,-0.8,32.4
