Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,23.2,1,1.9,-1,0,2,1,100.0
2019,,26.5,20,20.3,0,14,11,9,45.0
2020,,26.6,11,9.2,2,2,7,5,45.5
2021,,27.2,18,20.1,-2,5,16,8,44.4
2022,,27.3,33,37.2,-4,12,25,18,54.5
Player,,27.0,83,88.7,-6,33,61,41,49.4
