Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2017,,,,,,,,,70,,,,,,51,,
2018,,,,,,,,,88,,,,,,49,,
2019,36,54,58,57,11,39,48,64,88,37,52,8,72,5,64,23,
2020,74,87,86,80,60,66,66,45,92,38,87,20,52,7,46,77,62
2021,50,73,60,51,35,42,49,75,87,68,38,8,43,13,31,13,84
2022,88,66,87,87,73,94,82,72,81,68,63,53,67,27,30,13,64
