BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamLF,5,0,0,0,0,2,3,.245,.704
WongC,0,0,0,0,0,0,0,.242,.691
Devers3B,4,1,1,0,1,2,1,.289,.872
BogaertsSS,4,0,2,0,0,0,0,.315,.851
VerdugoRF,4,1,2,1,1,2,4,.283,.737
"Hernández, K2B",4,0,0,0,1,1,6,.225,.648
Casas1B,2,1,1,3,3,0,1,.130,.701
DalbecDH,5,0,1,0,0,3,7,.210,.640
McGuireC,3,1,1,1,0,0,3,.274,.684
a-RefsnyderPH-LF,1,0,0,0,0,1,2,.300,.856
"Almonte, ACF",4,1,1,0,0,1,2,.308,.742
,36,5,9,5,6,12,29,,
