PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Germán,5.0,3,3,3,1,5,2,3.30
"Britton(H, 1)",0.1,1,1,1,3,1,0,27.00
"Trivino(H, 4)",1.0,1,1,1,0,2,0,4.86
"Luetge(W, 4-4)(BS, 1)",0.2,3,0,0,1,2,0,2.78
"Schmidt(H, 3)",1.0,0,0,0,0,1,0,3.40
"Effross(S, 3)",1.0,1,0,0,1,1,0,2.70
,9.0,9,5,5,6,12,2,
