PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"McKenzie(L, 9-10)",6.0,3,3,3,2,4,1,3.17
Hentges,1.0,0,0,0,1,1,0,2.96
Morgan,1.0,1,0,0,2,2,0,4.09
,8.0,4,3,3,5,7,1,
