BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,2,1,0,0,2,0,1,.050,.272
VierlingLF,0,0,0,0,0,0,0,.167,.334
Hoskins1B,5,1,2,1,0,1,3,.154,.493
RealmutoC,5,1,2,2,0,2,5,.250,.683
HarperDH,5,1,2,2,0,2,2,.435,1.437
"Castellanos, NRF",4,0,0,0,1,2,2,.217,.541
Bohm3B,4,1,1,0,0,1,3,.200,.592
StottSS,4,0,1,0,0,2,1,.133,.478
Segura2B,4,2,3,0,0,0,1,.389,.976
MarshCF,4,1,2,3,0,1,2,.308,1.092
,37,8,13,8,3,11,20,,
