PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(L, 8-8)",5.0,9,4,4,2,4,2,4.47
Ort,2.0,2,1,1,1,2,0,10.61
Diekman,0.1,0,1,1,1,1,0,4.23
Brasier,1.0,2,2,2,1,1,0,5.63
Sawamura,0.2,1,1,1,0,1,1,3.51
,9.0,14,9,9,5,9,3,
