PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Lauer(W, 7-3)",5.0,4,1,1,3,4,0,3.75
"Gott(H, 10)",1.0,1,0,0,0,2,0,4.59
Milner,0.1,3,3,3,0,0,0,2.58
"Boxberger(H, 19)",0.2,1,0,0,0,0,0,2.75
"Williams, D(H, 25)",1.0,1,0,0,0,2,0,1.59
Gustave,1.0,0,0,0,1,0,0,3.95
,9.0,10,4,4,4,8,0,
