PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Megill(W, 2-0)",5.1,3,0,0,0,5,0,0.00
"Shreve(H, 2)",1.0,0,0,0,0,1,0,3.86
"Smith, Dr(H, 2)",1.2,1,0,0,0,3,0,0.00
"Díaz(S, 1)",1.0,2,0,0,0,3,0,0.00
,9.0,6,0,0,0,12,0,
