PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Lauer,7.0,2,1,1,3,4,1,3.64
"Suter(L, 1-3)",0.2,2,1,1,0,1,0,4.58
Gustave,0.1,0,0,0,0,1,0,3.63
,8.0,4,2,2,3,6,1,
