BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",5,0,1,0,0,2,4,.265,.795
France1B,5,1,1,1,0,0,7,.283,.800
HanigerRF,4,0,0,1,1,1,1,.254,.753
"Suárez, E3B",5,0,1,0,0,1,3,.231,.777
WinkerLF,2,1,0,0,1,1,0,.222,.694
HaggertyLF,1,0,0,0,0,1,0,.297,.814
SantanaDH,3,1,1,0,1,0,2,.196,.666
Frazier2B,3,0,1,0,1,0,1,.245,.628
RaleighC,3,1,1,1,1,0,2,.206,.754
"Crawford, JSS",3,0,1,1,1,0,1,.252,.678
,34,4,7,4,6,6,21,,
