PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(L, 0-3)",4.0,7,5,4,3,4,0,5.68
"Wilson, S",3.0,1,0,0,0,0,0,4.35
Stammen,1.1,5,4,4,0,2,1,4.05
"Hill, T",0.2,3,2,2,1,0,0,6.57
,9.0,16,11,10,4,6,1,
