BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,0,2,0,0,0,1,.297,.899
PeñaSS,4,0,0,0,0,1,1,.247,.691
"Alvarez, YLF",2,0,1,0,2,1,1,.301,1.022
Bregman3B,4,0,0,0,0,0,4,.263,.830
Gurriel1B,3,0,0,0,0,0,2,.239,.643
DíazDH,3,0,0,0,0,1,1,.251,.722
ManciniRF,3,0,0,0,0,1,0,.244,.725
McCormickCF,3,0,1,0,0,1,0,.235,.718
MaldonadoC,3,0,0,0,0,1,1,.187,.605
,29,0,4,0,2,6,11,,
