PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Urquidy(L, 13-8)",5.1,3,1,1,1,6,1,3.88
"Abreu, B",0.2,0,0,0,1,1,0,2.03
Neris,0.0,4,4,4,0,0,0,3.88
"Smith, W.M.",1.0,2,1,1,0,0,0,3.83
"Maton, P",1.0,0,0,0,0,1,0,3.62
,8.0,9,6,6,2,8,1,
