BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,1,1,2,0,2,1,.262,.725
RutschmanC,3,2,3,2,1,0,0,.258,.819
Mountcastle1B,3,0,1,1,1,0,1,.246,.724
SantanderRF,4,0,0,0,0,2,5,.244,.762
McKennaRF,0,0,0,0,0,0,0,.238,.638
Henderson3B,4,0,0,0,0,1,4,.296,.851
AguilarDH,3,0,1,0,0,1,0,.232,.657
1-StowersPR-DH,1,1,0,0,0,1,0,.246,.680
HaysLF,4,1,1,0,0,0,0,.249,.717
Vavra2B,4,1,1,1,0,0,0,.279,.701
MateoSS,2,0,1,0,0,1,0,.220,.651
,32,6,9,6,2,8,11,,
