BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
TurnerSS,6,1,1,1,0,3,3,.317,.861
"Freeman, F1B",5,0,2,1,1,2,0,.305,.880
"Smith, W.D.C",6,0,2,0,0,0,3,.262,.810
Muncy3B,5,0,0,0,0,0,4,.162,.607
"Turner, JDH",4,0,0,0,1,2,3,.219,.638
BellingerCF,5,1,1,0,0,2,3,.214,.665
Lux2B,5,1,2,0,0,1,1,.286,.741
AlvarezLF,2,0,0,0,0,1,2,.143,.286
"a-Taylor, ChPH-LF",3,2,3,1,0,0,0,.254,.772
"Thompson, TRF",4,0,1,2,1,2,1,.200,.606
,45,5,12,5,3,13,20,,
