Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-12,,-1,-1,-2,-4,-1,-2,-5,-7,86,81,-5
2017,-7,,-2,-1,0,-3,-2,1,-2,-4,86,83,-3
2018,-6,,-2,0,-3,-6,1,-1,0,0,88,84,-4
2019,-4,,0,-2,-1,-3,0,-1,-1,-2,84,79,-5
2020,0,,0,0,-1,0,0,0,0,0,86,82,-4
2021,-2,,-1,0,0,-1,-1,0,-1,-1,84,82,-2
