 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,16,54,29.6,-9,-0.5,-1.4,0,-1.9,30.1
2017,17,55,30.9,-7,-0.8,-1.3,0.3,-1.7,31.2
2018,14,34,41.2,-4,-0.5,-1.2,-0.1,-1.8,30.7
2019,6,21,28.6,-3,-0.2,-1.4,-0.8,-2.4,30.4
2020,3,5,60,-1,0,-2,-0.5,-2.6,30.2
2021,9,23,39.1,-3,-0.1,-0.8,0.2,-0.6,31.5
