Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,506,61,12.1,.386,.376
2017,R,478,51,10.7,.421,.496
2018,R,638,147,23.0,.435,.401
2019,R,634,105,16.6,.383,.377
2020,R,234,22,9.4,.269,.486
2021,R,623,103,16.5,.361,.358
2022,R,589,53,9.0,.326,.508
