 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2011,,225,849,6,-5,2,4,7
2012,,438,"1,641",-11,-13,10,6,-8
2013,,309,"1,173",-4,-4,3,3,-3
2014,,487,"1,901",27,-8,6,6,32
2015,,650,"2,579",24,-11,11,8,32
2016,,515,"2,014",13,-7,10,9,25
2017,,494,"1,965",23,-2,11,8,41
2018,,697,"2,747",23,24,19,13,79
2019,,636,"2,423",17,-3,7,12,33
2020,,234,898,-7,-11,3,5,-10
2021,,666,"2,565",34,-21,16,12,41
2022,,594,"2,389",-2,-18,10,10,0
