 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2011,,217,15.5,42.9%,0.0%,132,22.1,0.8%,10.6%
2012,,420,16.2,33.1%,0.7%,316,21.8,2.5%,10.8%
2013,,277,16.1,35.0%,1.8%,212,22.4,1.9%,7.5%
2014,,380,18.3,6.1%,1.8%,322,22.7,0.6%,6.8%
2015,,653,17.8,24.0%,4.4%,392,23.9,5.9%,19.4%
2016,,513,18.9,16.6%,5.7%,308,24.0,3.2%,17.5%
2017,,463,18.4,8.9%,2.8%,338,23.6,0.0%,9.2%
2018,,587,19.9,3.1%,2.9%,486,25.0,0.0%,16.7%
2019,,636,20.6,0.5%,2.8%,425,25.8,0.2%,20.5%
2020,,223,19.3,1.8%,3.1%,141,23.9,0.0%,15.6%
2021,,533,20.2,1.1%,3.8%,408,24.8,0.0%,14.5%
2022,,521,22.0,0.4%,3.8%,465,25.8,0.0%,21.5%
