BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Harrison2B,5,0,1,1,0,2,0,.241,.691
Robert Jr.CF,5,0,2,0,0,0,2,.300,.791
"Jiménez, EDH",4,0,0,0,0,0,2,.292,.783
"Abreu, J1B",4,1,2,0,0,2,1,.299,.843
VaughnLF,3,0,0,0,1,1,1,.295,.807
Moncada3B,3,1,0,0,1,2,2,.194,.576
GrandalC,3,1,2,0,1,1,0,.196,.539
SheetsRF,4,0,0,1,0,1,5,.227,.669
"Sosa, LSS",4,0,0,0,0,2,5,.150,.540
,35,3,7,2,3,11,18,,
