BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezLF,4,2,3,2,1,0,0,.237,.768
Witt Jr.3B,4,1,2,1,1,0,1,.254,.742
"Perez, SC",5,1,3,2,0,0,3,.220,.712
PasquantinoDH,5,0,2,0,0,0,4,.243,.713
DozierRF,4,0,2,0,0,0,2,.248,.723
1-EatonPR-RF,0,1,0,0,0,0,0,.250,.833
Pratto1B,3,1,0,0,1,1,5,.203,.733
Massey2B,3,0,1,1,0,1,2,.333,.722
IsbelCF,4,2,2,2,0,2,2,.223,.618
"Lopez, NSS",4,0,0,0,0,1,2,.242,.587
,36,8,15,8,3,5,21,,
