PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
Bubic,5.2,7,3,1,3,6,0,5.02
"Mills, W",0.1,0,0,0,0,0,0,4.50
"Staumont(W, 3-1)",1.0,0,0,0,0,2,0,4.46
"Coleman(H, 11)",1.0,0,0,0,0,3,0,2.91
Weaver,1.0,0,0,0,0,0,0,7.45
,9.0,7,3,1,3,11,0,
