BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B,4,0,1,0,0,1,0,.272,.831
ContrerasDH,4,0,0,0,0,2,1,.270,.877
Wisdom3B,3,1,1,0,1,2,0,.231,.787
"Suzuki, SRF",4,1,2,0,0,1,2,.256,.809
HoernerSS,4,0,1,0,0,1,2,.300,.757
HappLF,4,0,0,0,0,2,5,.277,.821
GomesC,2,0,0,1,0,0,1,.208,.527
Higgins1B,3,0,0,0,0,0,1,.274,.825
"Velazquez, NCF",3,0,0,0,0,3,0,.224,.650
,31,2,5,1,1,12,12,,
