PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Stroman,4.0,2,0,0,1,3,0,4.91
Hughes,1.0,0,0,0,0,1,0,3.63
"Effross(BS, 2)",1.0,2,1,1,0,1,0,3.11
"Wick(L, 1-5)(BS, 2)",0.2,5,3,3,0,0,1,5.30
Rucker,1.1,1,0,0,0,0,0,5.25
,8.0,10,4,4,1,5,1,
