Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,21.4,7,7.5,-1,2,5,4,57.1
2020,,21.0,4,3.2,1,1,3,1,25.0
2021,,21.5,18,16.9,1,13,12,7,38.9
2022,,21.4,27,25.8,1,12,17,13,48.1
Player,,21.4,56,53.3,3,28,37,25,44.6
