Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2019,TB,AL,169,69,79,0,2,.340,15,4,30,701,4.148,.296,.041,.260,.191,1,1
2020,TB,AL,76,29,32,0,0,.314,6,2,9,295,3.882,.368,.053,.321,.209,0,0
2021,TEX,AL,642,231,219,0,3,.339,45,13,75,2691,4.192,.252,.028,.494,.151,4,1
2022,TEX,AL,645,292,219,0,0,.363,56,10,83,2525,3.915,.228,.042,.327,.191,5,1
4 Seasons,2 Teams,,1532,621,549,0,5,.349,122,29,197,6212,4.055,.253,.037,.388,.175,10,3
