Season,Team,Pos,PA,Depth (ft.),Angle
2019,TB,3,719,108,34
2019,TB,5,43,111,-30
2020,TB,5,66,119,-38
2020,TB,3,494,111,34
2021,TEX,3,5426,112,35
2021,TEX,5,6,115,-25
2022,TEX,3,5671,112,34
