 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,190,16.7,31.6%,1.6%,143,22.6,0.0%,7.7%
2020,,83,16.9,27.7%,2.4%,63,23.2,0.0%,15.9%
2021,,804,17.4,23.1%,2.5%,485,23.0,0.6%,12.6%
2022,,643,17.5,22.7%,2.5%,420,22.8,0.7%,11.0%
