,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,645,593,74,179,27,76,2,.302,.358,.492,.850
4 Seasons,1532,1369,183,381,56,178,11,.278,.352,.454,.806
