BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B,4,0,1,0,1,1,1,.289,.885
ContrerasDH,5,1,1,0,0,2,4,.254,.829
1-SimmonsPR-DH,0,0,0,0,0,0,0,.206,.435
Schwindel1B,3,1,0,0,2,0,2,.230,.662
Wisdom3B,4,1,2,0,1,2,4,.227,.785
HoernerSS,5,0,3,3,0,0,1,.298,.752
FrazierLF,2,0,0,0,1,2,1,.130,.476
a-HappPH-LF,2,0,0,1,0,1,2,.255,.774
"Velazquez, NRF",3,0,1,0,0,0,4,.333,.666
b-RivasPH-RF,2,0,0,0,0,2,2,.210,.656
HigginsC,5,1,1,1,0,2,2,.211,.792
OrtegaCF,4,2,3,1,0,0,0,.243,.694
,39,6,12,6,5,12,23,,
