PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Small,2.2,4,2,2,4,4,0,6.75
Kelley,1.1,2,2,2,0,2,2,4.15
"Sánchez, M(W, 1-1)",2.0,1,0,0,0,1,0,0.00
"Gott(H, 7)",1.0,3,2,2,0,1,0,3.50
"Williams, D(H, 12)",1.0,1,0,0,1,1,0,3.32
"Hader(S, 17)",1.0,1,0,0,0,3,0,0.00
,9.0,12,6,6,5,12,2,
