BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SwansonSS,6,0,1,0,0,3,3,.304,.871
d'ArnaudC,5,2,2,0,0,0,2,.269,.809
Olson1B,4,0,1,1,1,2,2,.249,.808
Riley3B,3,0,0,1,1,1,2,.253,.828
OzunaLF,4,0,1,1,0,1,4,.227,.693
HerediaRF,0,0,0,0,0,0,0,.130,.587
a-FordPH,0,0,0,0,1,0,0,.182,.584
1-GosselinPR-RF,0,0,0,0,0,0,0,.200,.400
Arcia2B,4,0,0,0,0,2,4,.289,.797
"Contreras, WmDH",3,0,0,0,2,0,2,.259,.904
DuvallRF-LF,5,0,1,0,0,1,5,.198,.611
"Harris II, MCF",5,1,2,0,0,2,2,.330,.879
,39,3,8,3,5,12,26,,
