PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Minor(L, 1-5)",6.0,6,2,2,0,3,1,6.82
Kuhnel,1.0,2,3,3,1,2,1,7.17
Cessa,1.0,2,3,3,2,0,0,6.67
Hoffman,1.0,2,1,1,0,1,0,3.50
,9.0,12,9,9,3,6,2,
