BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,0,1,0,0,0,0,.225,.589
DruryDH,3,0,0,0,0,2,2,.271,.857
PhamLF,4,0,3,1,0,0,0,.260,.782
Votto1B,4,0,0,0,0,0,6,.220,.726
"Farmer, KSS",4,0,1,0,0,0,0,.280,.751
Solano3B,4,0,0,0,0,0,1,.276,.771
Almora Jr.RF,3,0,0,0,0,1,1,.261,.702
SenzelCF,4,1,1,0,0,1,2,.234,.573
PapierskiC,3,0,0,0,0,1,1,.167,.378
,33,1,6,1,0,5,13,,
