BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,0,0,1,1,2,.255,.778
"Machado, M3B",4,0,1,1,1,2,3,.293,.880
"Soto, JRF",5,1,2,0,0,0,2,.249,.901
BellDH,3,1,2,1,1,0,1,.303,.880
Drury2B,3,0,0,0,1,1,3,.272,.858
Myers1B,4,0,1,0,0,2,2,.232,.575
GrishamCF,3,0,0,0,0,3,3,.197,.658
"Nola, AuC",3,1,3,1,1,0,0,.248,.633
KimSS,2,0,0,0,0,0,3,.248,.699
a-CronenworthPH-SS,2,0,0,0,0,0,3,.243,.747
,33,3,9,3,5,9,22,,
