PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Freeland(W, 7-7)",5.2,6,2,2,4,7,0,4.56
"Estévez(H, 4)",0.1,0,0,0,0,0,0,4.62
Gilbreath,1.0,1,0,0,0,1,0,3.38
Colomé,1.0,0,0,0,1,1,0,3.32
"Bard, D",1.0,2,1,1,0,0,0,2.04
,9.0,9,3,3,5,9,0,
