Season,Team,Pos,PA,Depth (ft.),Angle
2016,ARI,8,362,313,0
2017,ARI,8,3656,321,1
2018,ARI,8,3923,323,1
2019,LAD,7,593,293,-26
2019,LAD,8,2125,317,0
2020,LAD,8,528,317,1
2020,LAD,7,813,298,-26
2021,LAD,7,3272,297,-26
2021,LAD,8,187,318,1
2022,CWS,9,381,301,27
2022,CWS,7,3185,298,-28
2022,CWS,8,1187,324,-1
