Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,1,,1,1,-1,1,0,0,0,0,85,87,2
2017,1,,0,-1,1,0,-2,1,1,0,89,89,0
2018,6,,1,1,0,1,2,1,2,5,87,89,2
2019,-9,,-1,0,-3,-3,-2,-2,-2,-6,85,79,-6
2020,-2,,1,1,-2,-1,0,-1,0,-1,86,84,-2
2021,0,,0,0,-1,0,1,0,-1,0,87,87,0
2022,-2,,-1,0,-3,-4,2,-1,1,2,88,88,0
