,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,527,489,61,120,14,56,3,.245,.292,.389,.681
11 Seasons,4008,3654,560,1010,140,470,122,.276,.332,.469,.801
