 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2012,,92,361,-1,-4,3,1,-1
2013,,481,"1,848",-9,-6,9,6,-1
2014,,277,"1,034",10,-4,4,3,12
2015,,673,"2,359",15,-6,10,8,28
2016,,46,157,0,-1,1,1,0
2017,,479,"1,785",-9,-4,11,10,8
2018,,457,"1,714",9,-18,7,7,5
2019,,355,"1,312",-3,-10,4,7,-2
2020,,253,896,6,-15,3,4,-2
2021,,453,"1,589",12,-2,9,9,27
2022,,527,"1,837",-6,-15,6,6,-9
