PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Steele,7.0,7,2,1,3,1,0,4.79
Effross,1.0,0,0,0,0,1,0,2.84
"Wick(BS, 1)",1.0,2,1,1,0,0,0,3.52
"Norris(L, 0-4)",2.0,2,2,1,1,4,0,5.14
,11.0,11,5,3,4,6,0,
