BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Edman2B-SS,4,1,1,0,2,1,3,.280,.781
Goldschmidt1B,5,1,2,0,0,1,3,.343,1.031
Arenado3B,5,0,1,2,0,0,2,.278,.842
PujolsDH,3,0,1,0,0,0,2,.207,.692
a-GormanPH-DH,2,1,0,0,0,2,1,.304,.950
YepezLF,4,0,1,1,1,0,1,.269,.775
BaderCF,5,2,2,0,0,1,2,.271,.703
MolinaC,5,0,0,0,0,1,5,.217,.530
"Sosa, ESS",3,0,0,0,0,0,0,.216,.536
b-NootbaarPH-RF,1,0,1,1,1,0,0,.152,.496
DonovanRF-2B,5,0,2,1,0,0,1,.319,.886
,42,5,11,5,4,6,20,,
