Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2016,,,,,,,,,54,,,,,,40,,
2017,,,,,,,,,38,,,,,,41,,
2018,47,50,35,34,60,38,27,24,86,23,83,56,79,34,63,1,
2019,47,36,41,42,56,43,35,12,58,16,86,57,77,68,46,12,
2020,61,83,44,18,71,16,10,23,46,7,92,30,80,40,55,25,62
2021,21,25,5,4,62,4,7,3,50,7,82,86,87,85,34,5,58
2022,49,57,26,15,78,29,14,22,54,19,84,85,86,79,32,9,65
